protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,5392,5392,0,1330.659328,0.381169,9851,254357,137411,3384,2169,0,0,0,0,0,0,0.0,0.0
meshcore-like,11,1200.0,140,66,74,0.80303,0.918643,0.451661,4658,3457,1201,1149.519872,0.339693,10403,217839,97224,2072,0,1177,24,37,29,0,0,0.0,0.257836
calm-mesh,11,1200.0,140,66,74,0.772727,0.917816,0.900666,3822,3035,787,943.208448,0.279138,9235,178043,87502,2080,1072,771,16,42,24,83,9,0.94933,0.205913
meshtastic-like,12,1200.0,132,63,69,0.888889,0.983437,0.744967,5044,5044,0,1244.778496,0.368169,9889,237267,131057,3830,2150,0,0,0,0,0,0,0.0,0.0
meshcore-like,12,1200.0,132,63,69,0.396825,0.972789,0.444211,4022,3370,652,992.565248,0.299507,7519,189559,87029,1794,0,639,13,17,46,0,0,0.0,0.162108
calm-mesh,12,1200.0,132,63,69,0.888889,0.976338,1.245996,3932,3079,853,970.354688,0.289054,9539,183129,88955,1888,1022,838,15,44,19,127,11,0.958568,0.216938
meshtastic-like,13,1200.0,129,63,66,0.936508,0.893321,0.863152,4785,4785,0,1180.86144,0.400564,8719,225746,123218,2951,1899,0,0,0,0,0,0,0.0,0.0
meshcore-like,13,1200.0,129,63,66,0.634921,0.924552,0.431872,4061,3108,953,1002.189824,0.330756,8232,190757,80151,1285,0,932,21,31,32,0,0,0.0,0.234671
calm-mesh,13,1200.0,129,63,66,0.793651,0.969079,0.978012,3613,2911,702,891.630592,0.280035,8055,168982,75186,1169,760,688,14,40,23,82,8,0.953671,0.194298
meshtastic-like,14,1200.0,114,46,68,0.978261,0.953481,0.46248,4587,4587,0,1131.998208,0.351334,7644,216580,115088,2276,1612,0,0,0,0,0,0,0.0,0.0
meshcore-like,14,1200.0,114,46,68,0.891304,0.983193,0.487549,4384,3383,1001,1081.901056,0.326169,8888,205928,93555,1626,0,981,20,25,21,0,0,0.0,0.22833
calm-mesh,14,1200.0,114,46,68,0.826087,0.953782,1.076116,3539,2888,651,873.368576,0.27157,7768,165643,77522,1518,891,638,13,28,18,47,7,0.95662,0.18395
meshtastic-like,15,1200.0,135,68,67,0.911765,0.891563,0.768547,5093,5093,0,1256.870912,0.420499,8879,240678,131048,2915,1890,0,0,0,0,0,0,0.0,0.0
meshcore-like,15,1200.0,135,68,67,0.279412,0.923546,0.467591,3860,3116,744,952.58624,0.312221,7266,181874,87139,1819,0,725,19,11,57,0,0,0.0,0.192746
calm-mesh,15,1200.0,135,68,67,0.455882,0.919586,1.386815,3543,2810,733,874.355712,0.286674,7429,166178,79669,1644,857,720,13,24,44,72,8,0.92218,0.206887
meshtastic-like,16,1200.0,121,53,68,0.943396,0.941777,0.385713,4718,4718,0,1164.326912,0.365222,8263,222919,120666,2684,1691,0,0,0,0,0,0,0.0,0.0
meshcore-like,16,1200.0,121,53,68,0.735849,0.97509,0.449273,4139,3337,802,1021.438976,0.310657,8633,194178,90963,1941,0,786,16,26,27,0,0,0.0,0.193767
calm-mesh,16,1200.0,121,53,68,0.754717,0.962185,0.97465,3447,2847,600,850.664448,0.262065,7857,161046,75916,1514,874,588,12,33,20,0,4,0.954456,0.174064
