protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_discovery_success_rate,evaluation_variant,scenario
calm-mesh,8,1200.0,125,63,62,0.761905,0.761905,0.983871,1.055264,0.80848,1.055264,2.493568,2.740352,48,48,2989,3447,2699,748,48,850.664448,110.699628,0.09225,336.863121,1045.528937,1382.392058,0.455183,0.2801,0.274055,9995,158908,168903,0.059176,70411,0.416872,960,637,686,14,14,13,39,24,0,6,0.94591,0.217,0,0,0.0,-1,0,0,0,0.9285714285714286,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,8,1200.0,125,63,62,0.761905,0.761905,0.983871,1.055264,0.80848,1.055264,2.493568,2.740352,48,48,2989,3447,2699,748,48,850.664448,110.699628,0.09225,336.863121,1045.528937,1382.392058,0.455183,0.2801,0.274055,9995,158908,168903,0.059176,70411,0.416872,960,637,686,14,14,13,39,24,0,6,0.94591,0.217,0,0,0.0,-1,0,0,0,0.9285714285714286,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,9,1200.0,127,58,69,0.413793,0.655172,0.97131,0.493568,0.428625,0.493568,0.740352,0.493568,38,24,3284,4273,3383,890,38,1054.508032,131.038372,0.109199,417.585181,1293.374732,1710.959913,0.517219,0.318775,0.474843,9945,199432,209377,0.047498,89644,0.428146,2050,0,835,17,19,14,30,28,0,0,0.0,0.208285,0,0,0.0,-1,0,0,0,0.7368421052631579,meshcore-reference,main_mixed_recovery_budget
calm-mesh,9,1200.0,127,58,69,0.793103,0.862069,0.983437,1.215485,0.955884,1.215485,2.493568,2.740352,50,46,3325,3851,3049,802,50,950.365184,128.944539,0.107454,376.344613,1182.734531,1559.079143,0.462498,0.281924,0.40282,10948,177751,188699,0.058018,82583,0.437644,1391,851,737,15,17,14,38,20,80,10,0.950379,0.208258,0,0,0.0,-1,0,0,0,0.8235294117647058,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,9,1200.0,127,58,69,0.775862,0.844828,0.980183,1.192567,0.934575,1.192567,2.493568,2.740352,49,45,3314,3773,2970,803,49,931.116032,130.081908,0.108402,368.721949,1161.537579,1530.259528,0.45557,0.2772,0.436873,11035,173842,184877,0.059688,81221,0.439325,1545,886,739,15,19,15,38,20,0,12,0.953489,0.212828,0,0,0.0,-1,0,0,0,0.7894736842105263,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,10,1200.0,133,72,61,0.444444,0.708333,0.967213,0.493568,0.420984,0.493568,0.740352,0.493568,51,32,2891,4010,3006,1004,51,989.60384,128.277176,0.106898,391.883121,1218.065579,1609.9487,0.550786,0.338558,0.351954,10678,185812,196490,0.054344,83310,0.423991,1842,0,933,20,21,18,39,33,0,0,0.0,0.250374,0,0,0.0,-1,0,0,0,0.8571428571428571,meshcore-reference,main_mixed_recovery_budget
calm-mesh,10,1200.0,133,72,61,0.847222,0.902778,0.978923,1.04201,0.834114,1.04201,2.493568,2.740352,65,61,2926,3470,2655,815,65,856.34048,130.975684,0.109146,339.11083,1075.801908,1414.912738,0.47369,0.286689,0.422735,12083,157947,170030,0.071064,74460,0.437923,1555,866,736,14,16,14,56,16,83,8,0.950514,0.23487,0,0,0.0,-1,0,0,0,0.875,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,10,1200.0,133,72,61,0.833333,0.875,0.980261,1.017818,0.746069,1.017818,2.493568,2.740352,63,60,2930,3399,2587,812,63,838.818816,130.779491,0.108983,332.172251,1058.790662,1390.962913,0.465205,0.280541,0.407157,11998,154553,166551,0.072038,73931,0.443894,1589,829,735,14,16,14,56,16,0,8,0.950514,0.238894,0,0,0.0,-1,0,0,0,0.875,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,11,1200.0,140,66,74,0.454545,0.772727,0.94374,0.493568,0.450018,0.493568,0.740352,0.493568,51,30,3422,4751,3547,1204,51,1172.470784,152.914075,0.127428,464.29843,1440.847468,1905.145899,0.551896,0.33965,0.497411,11956,220843,232799,0.051358,99561,0.427669,2339,0,1128,25,24,21,35,31,0,0,0.0,0.25342,0,0,0.0,-1,0,0,0,0.875,meshcore-reference,main_mixed_recovery_budget
calm-mesh,11,1200.0,140,66,74,0.69697,0.727273,0.928847,0.976634,0.88055,0.976634,2.493568,2.740352,48,46,3368,3845,3048,797,51,948.88448,141.474115,0.117895,375.758254,1193.706281,1569.464535,0.459714,0.277939,0.497131,11240,177165,188405,0.059659,85558,0.454117,1935,992,732,14,16,12,42,24,83,9,0.945911,0.207282,0,0,0.0,-1,0,0,0,0.75,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,11,1200.0,140,66,74,0.727273,0.742424,0.924986,0.961648,0.751164,0.961648,2.493568,2.740352,49,48,3354,3762,2961,801,49,928.401408,141.297158,0.117748,367.646958,1166.453057,1534.100015,0.450941,0.272899,0.489998,11409,172929,184338,0.061892,82984,0.450173,2017,975,737,15,17,12,43,23,0,9,0.946998,0.212919,0,0,0.0,-1,0,0,0,0.7058823529411765,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,12,1200.0,132,63,69,0.111111,0.238095,0.992606,0.564078,0.526473,0.564078,0.740352,0.839066,15,7,3356,4032,3416,616,16,995.033088,125.236844,0.104364,394.033103,1236.385382,1630.418485,0.484811,0.295877,0.533449,7664,189904,197568,0.038792,89895,0.455008,2064,0,583,17,14,9,8,55,0,0,0.0,0.152778,0,0,0.0,-1,0,0,0,0.6428571428571429,meshcore-reference,main_mixed_recovery_budget
calm-mesh,12,1200.0,132,63,69,0.793651,0.809524,0.982845,1.162668,0.902764,1.162668,2.493568,2.740352,51,50,3323,3841,2960,881,51,947.897344,144.968403,0.120807,375.367348,1206.565373,1581.932721,0.468999,0.281025,0.492526,11748,176461,188209,0.06242,87948,0.467289,1924,1041,814,16,18,14,42,21,67,10,0.955345,0.229367,0,0,0.0,-1,0,0,0,0.7777777777777778,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,12,1200.0,132,63,69,0.777778,0.777778,0.985803,1.135506,0.888722,1.135506,2.493568,2.740352,49,49,3333,3800,2912,888,49,937.7792,140.029821,0.116692,371.360563,1187.389975,1558.750538,0.460896,0.277285,0.466226,11327,174873,186200,0.060832,85832,0.460967,1613,917,824,15,18,14,42,21,0,10,0.955345,0.233684,0,0,0.0,-1,0,0,0,0.7777777777777778,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,13,1200.0,129,63,66,0.380952,0.587302,0.944341,0.493568,0.4202,0.493568,0.740352,0.493568,37,24,3054,4105,3165,940,37,1013.04832,116.133533,0.096778,401.167135,1218.250119,1619.417254,0.526126,0.329126,0.335728,9125,192020,201145,0.045365,80986,0.402625,1289,0,884,19,20,16,28,35,0,0,0.0,0.228989,0,0,0.0,-1,0,0,0,0.8,meshcore-reference,main_mixed_recovery_budget
calm-mesh,13,1200.0,129,63,66,0.777778,0.793651,0.998763,1.084617,0.826012,1.084617,2.493568,2.740352,50,49,3230,3708,2910,798,50,915.075072,135.454192,0.112878,362.369729,1138.881083,1501.250811,0.457838,0.279071,0.492856,11222,170421,181643,0.061781,79174,0.435877,1596,849,733,15,16,14,46,17,36,8,0.949772,0.21521,0,0,0.0,-1,0,0,0,0.875,calm-route-miss-fallback,main_mixed_recovery_budget
calm-mesh,13,1200.0,129,63,66,0.825397,0.825397,0.938466,1.098471,0.851687,1.098471,2.493568,2.740352,52,52,3035,3568,2716,852,52,880.525312,122.348111,0.101957,348.688024,1087.604089,1436.292112,0.465271,0.285237,0.353532,10942,163890,174832,0.062586,73945,0.422949,1168,689,785,15,17,15,46,17,0,9,0.952604,0.238789,0,0,0.0,-1,0,0,0,0.8823529411764706,calm-no-route-miss-fallback,main_mixed_recovery_budget
meshcore-like,14,1200.0,114,46,68,0.456522,0.913043,0.941176,0.493568,0.481816,0.493568,0.740352,0.493568,42,21,3136,4285,3242,1043,42,1057.46944,131.665578,0.109721,418.757898,1297.45978,1716.217678,0.543623,0.33496,0.441475,10036,199929,209965,0.047798,89797,0.427676,1792,0,981,20,21,20,25,21,0,0,0.0,0.243407,0,0,0.0,-1,0,0,0,0.9523809523809523,meshcore-reference,main_mixed_recovery_budget
calm-mesh,14,1200.0,114,46,68,0.869565,0.869565,0.981393,1.111434,0.86465,1.111434,2.493568,2.740352,40,40,3270,3709,2923,786,40,915.321856,131.508636,0.109591,362.467455,1144.517945,1506.9854,0.455283,0.276532,0.543809,10300,171441,181741,0.056674,81288,0.447274,1610,872,731,15,15,14,31,15,0,7,0.953991,0.211917,0,0,0.0,-1,0,0,0,0.9333333333333333,calm-route-miss-fallback,main_mixed_recovery_budget
