protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
calm-mesh,6,600.0,9,9,0,0.444444,0.555556,0.0,2.485568,2.990905,2.485568,5.014066,2.615053,5,4,0,507,39,468,11,36.471552,16.390415,0.027317,14.442735,58.169039,72.611774,18.152943,9.117888,2.990905,3198,21645,24843,0.128728,18958,0.763112,1867,38,441,16,9,6,0,9,28,1,0.787837,0.923077,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,6,6,0.6666666666666666,0.036281179138321996,2.1666666666666665,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
smart-calm,6,600.0,9,9,0,0.666667,0.777778,0.0,8.702368,7.814465,8.702368,15.143872,15.287744,7,6,0,497,31,466,13,35.752192,15.79103,0.026318,14.157868,56.892695,71.050563,11.84176,5.958699,7.814465,3336,21017,24353,0.136985,17959,0.737445,1945,45,439,14,9,5,0,9,19,1,0.78404,0.937626,2,29,4.158796,1,7,2,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,0.5555555555555556,0.03189066059225513,2.0,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
smart-calm-static,6,600.0,9,9,0,0.555556,0.777778,0.0,7.749053,9.850754,7.749053,15.91304,15.901364,7,5,0,542,69,473,14,38.989312,17.812663,0.029688,15.439768,62.242584,77.682351,15.53647,7.797862,9.850754,3748,22810,26558,0.141125,19526,0.735221,2057,79,441,18,9,4,0,9,59,0,0.777045,0.872694,0,0,0.0,1,0,9,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,4,4,0.4444444444444444,0.04081632653061224,2.25,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
smart-calm-no-fallback,6,600.0,9,9,0,0.555556,0.555556,0.0,13.065293,12.921421,13.065293,27.143872,27.287744,5,5,0,477,14,463,10,34.313472,15.604577,0.026008,13.588135,54.714107,68.302241,13.660448,6.862694,12.921421,3300,20073,23373,0.141189,17151,0.733795,1954,0,438,15,9,5,0,9,0,0,0.769796,0.97065,5,29,-1.637785,2,3,5,1,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,5,5,0.5555555555555556,0.03424657534246575,2.0,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
smart-calm-no-confidence,6,600.0,9,9,0,0.444444,0.666667,0.0,12.037744,9.001076,12.037744,15.143872,15.287744,6,4,0,522,58,464,10,37.550592,16.33433,0.027224,14.870034,59.667889,74.537923,18.634481,9.387648,9.001076,3418,22160,25578,0.13363,18723,0.731996,1997,104,441,13,9,4,0,9,49,1,0.72262,0.888889,4,29,-2.618942,0,5,3,1,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,4,3,0.4444444444444444,0.02947845804988662,1.75,0.0002214428874110822,0.13685947178757818,0.9785413087429581,0.9999716720776711,0.9999999999166334,0.5346938775510204,0.32326530612244897
meshtastic-like,7,600.0,5,5,0,0.2,1.0,0.0,1.083246,1.028328,1.083246,1.533851,1.083246,5,1,0,75,66,9,9,5.3952,3.655478,0.006092,2.136499,8.782816,10.919315,10.919315,5.3952,1.028328,1037,2638,3675,0.282177,2095,0.570068,608,223,0,0,0,0,0,0,0,0,0.0,0.12,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.0,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
meshcore-like,7,600.0,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,250,0,250,0,17.984,8.000512,0.013334,7.121664,28.536816,35.65848,0.0,0.0,0.0,1565,10685,12250,0.127755,9140,0.746122,1168,0,245,5,5,0,0,5,0,0,0.0,1.0,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,0,0,0.0,0.02040816326530612,0.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
calm-mesh,7,600.0,5,5,0,0.0,0.2,0.0,0.0,3.892581,0.0,3.892581,0.0,1,0,0,279,24,255,3,20.070144,8.529711,0.014216,7.947777,31.78636,39.734137,0.0,0.0,3.892581,1683,11988,13671,0.123107,10252,0.749909,1145,44,245,7,5,1,0,5,23,1,0.772201,0.913978,0,0,0.0,-1,0,0,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,1,1,0.2,0.02857142857142857,2.0,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm,7,600.0,5,5,0,0.6,0.8,0.0,15.287744,11.923809,15.287744,15.205018,15.417229,4,3,0,300,41,259,7,21.5808,10.337114,0.017229,8.545997,34.378171,42.924168,14.308056,7.1936,11.923809,2261,12439,14700,0.15381,10289,0.699932,1374,94,245,7,5,2,0,5,33,1,0.794663,0.863333,3,25,0.440789,0,2,3,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.02857142857142857,2.5,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
smart-calm-static,7,600.0,5,5,0,0.4,1.0,0.0,8.931616,10.592617,8.931616,15.888231,14.781616,5,2,0,310,48,262,11,22.30016,10.02691,0.016712,8.830863,35.422231,44.253094,22.126547,11.15008,10.592617,2091,13099,15190,0.137656,11033,0.726333,1062,82,244,7,5,2,0,5,41,1,0.760504,0.845161,0,0,0.0,1,0,5,0,sf7_15km_connected90_lowload,50,15000.0,0.5,unicast,7,2.75,0,connected-multihop,0.9,2,4,24,2.0,1,2,2,0.4,0.028688524590163935,2.5,0.00014660439130281756,0.20726413012680023,0.9852456636622906,0.9999676687176609,0.999999999830197,0.52,0.32326530612244897
