protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshcore-like,4,1200.0,203,94,109,0.340426,0.5,0.928665,0.53984,0.409556,0.53984,0.740352,0.987136,47,32,4960,6053,5108,945,50,1493.783552,214.809841,0.179008,591.538287,1887.946286,2479.484572,0.496692,0.299235,0.614584,14981,281616,296597,0.05051,138681,0.467574,4068,0,874,21,44,50,0,0,0.0,0.156121,0,0,0.0,-1,0,0,0
calm-mesh,4,1200.0,203,94,109,0.404255,0.43617,0.901329,1.176799,1.011433,1.176799,2.493568,2.740352,41,38,4814,5009,4213,796,46,1236.141056,203.167877,0.169307,489.511858,1605.952176,2095.464034,0.431876,0.254769,0.669512,13844,231597,245441,0.056405,123812,0.504447,3493,1784,736,14,48,46,78,9,0.939608,0.158914,0,0,0.0,-1,0,0,0
smart-calm,4,1200.0,203,94,109,0.808511,0.87234,0.907133,7.63595,6.992619,7.63595,15.246784,15.493568,82,76,4845,5269,4433,836,86,1300.304896,230.29845,0.191915,514.920739,1693.969434,2208.890173,0.44887,0.264236,0.814673,18131,240050,258181,0.070226,127727,0.494719,3737,1992,736,14,57,37,267,9,0.948697,0.158664,7,133,139.249114,0,70,23,1
smart-calm-static,4,1200.0,203,94,109,0.819149,0.87234,0.90601,8.769166,7.860173,8.769166,15.246784,15.493568,82,77,4839,6238,5404,834,88,1539.438592,246.485013,0.205404,609.617682,1968.892301,2578.509984,0.524514,0.313149,0.889121,18378,287284,305662,0.060125,145982,0.477593,3785,2102,732,14,48,46,1222,9,0.937073,0.133697,0,0,0.0,1,0,94,0
smart-calm-no-fallback,4,1200.0,203,94,109,0.56383,0.62766,0.923797,1.04741,0.952853,1.04741,2.930041,2.740352,59,53,4934,5507,4711,796,65,1359.039488,218.775365,0.182313,538.179637,1752.703528,2290.883165,0.459371,0.272516,0.678502,15750,254093,269843,0.058367,132858,0.492353,3557,1981,716,15,56,38,511,7,0.917118,0.144543,12,133,69.590875,2,17,28,49
smart-calm-no-confidence,4,1200.0,203,94,109,0.808511,0.87234,0.907133,7.63595,6.992619,7.63595,15.246784,15.493568,82,76,4845,5269,4433,836,86,1300.304896,230.29845,0.191915,514.920739,1693.969434,2208.890173,0.44887,0.264236,0.814673,18131,240050,258181,0.070226,127727,0.494719,3737,1992,736,14,57,37,267,9,0.948697,0.158664,7,133,139.249114,0,70,23,1
meshtastic-like,5,1200.0,174,91,83,0.67033,0.879121,0.926727,0.788227,0.903372,0.788227,4.100411,1.905884,80,61,3769,6549,6450,99,99,1616.188416,255.823055,0.213186,640.010613,2129.828079,2769.838692,0.723195,0.421981,0.765231,16105,304796,320901,0.050187,172331,0.537022,4781,2896,0,0,0,0,0,0,0.0,0.015117,0,0,0.0,-1,0,0,0
meshcore-like,5,1200.0,174,91,83,0.285714,0.450549,0.915171,0.531535,0.415319,0.531535,0.740352,0.863744,41,26,3722,4748,3849,899,43,1171.730432,159.205558,0.132671,464.005251,1459.091778,1923.097029,0.5131,0.312628,0.459398,11395,221257,232652,0.048979,103983,0.446947,2617,0,838,18,32,59,0,0,0.0,0.189343,0,0,0.0,-1,0,0,0
calm-mesh,5,1200.0,174,91,83,0.340659,0.450549,0.930907,1.000906,1.12526,1.000906,4.42796,2.740352,41,31,3786,4396,3505,891,42,1084.862464,163.112093,0.135927,429.605536,1380.033104,1809.63864,0.4741,0.284219,0.464344,11085,204319,215404,0.051461,102939,0.477888,2312,1126,837,12,36,55,122,11,0.94477,0.202684,0,0,0.0,-1,0,0,0
smart-calm,5,1200.0,174,91,83,0.78022,0.89011,0.960659,7.590685,6.620541,7.590685,15.246784,22.993568,81,71,3907,5783,4857,926,93,1427.151872,224.987476,0.18749,565.152141,1824.263161,2389.415302,0.600657,0.358761,0.746002,16625,266742,283367,0.058669,135708,0.478913,3152,1661,817,16,46,45,1376,11,0.923774,0.160125,7,129,94.391199,2,4,41,46
smart-calm-static,5,1200.0,174,91,83,0.725275,0.835165,0.925498,10.742526,9.551218,10.742526,15.498232,15.493568,76,66,3764,5997,5226,771,82,1479.963648,213.810229,0.178175,586.065605,1875.28851,2461.354114,0.642651,0.386413,0.745978,15087,278766,293853,0.051342,138364,0.470861,2851,1546,677,12,26,65,1840,9,0.93266,0.128564,0,0,0.0,1,0,91,0
smart-calm-no-fallback,5,1200.0,174,91,83,0.67033,0.802198,0.95107,1.106568,0.843069,1.106568,2.893568,3.140352,73,61,3868,4997,3962,1035,85,1233.179648,194.108956,0.161757,488.339141,1553.509224,2041.848364,0.519687,0.313866,0.499112,15482,229371,244853,0.06323,110652,0.451912,2662,1258,932,18,65,26,453,13,0.939385,0.207124,11,129,74.177806,2,49,4,38
smart-calm-no-confidence,5,1200.0,174,91,83,0.78022,0.89011,0.960659,7.590685,6.620541,7.590685,15.246784,22.993568,81,71,3907,5783,4857,926,93,1427.151872,224.987476,0.18749,565.152141,1824.263161,2389.415302,0.600657,0.358761,0.746002,16625,266742,283367,0.058669,135708,0.478913,3152,1661,817,16,46,45,1376,11,0.923774,0.160125,7,129,94.391199,2,4,41,46
meshtastic-like,6,1200.0,186,104,82,0.759615,0.923077,0.930314,0.83011,0.838708,0.83011,3.896383,2.362636,96,79,3738,6917,6802,115,115,1707.004928,286.892665,0.239077,675.973951,2280.882572,2956.856523,0.774655,0.447211,0.952498,17870,320916,338786,0.052747,187551,0.553597,5336,3164,0,0,0,0,0,0,0.0,0.016626,0,0,0.0,-1,0,0,0
meshcore-like,6,1200.0,186,104,82,0.451923,0.644231,0.914385,0.493568,0.379384,0.493568,0.740352,0.493568,67,47,3674,4883,3771,1112,67,1205.046272,177.8071,0.148173,477.198324,1514.45382,1991.652143,0.535246,0.32385,0.600662,14332,224935,239267,0.0599,107788,0.450493,3157,0,1023,22,63,41,0,0,0.0,0.227729,0,0,0.0,-1,0,0,0
calm-mesh,6,1200.0,186,104,82,0.798077,0.836538,0.927576,0.898781,0.740181,0.898781,2.493568,2.740352,87,83,3727,4361,3426,935,87,1076.225024,182.68367,0.152236,426.18511,1377.566977,1803.752086,0.473426,0.282474,0.615496,15820,197869,213689,0.074033,99020,0.463384,2137,1131,832,16,85,19,85,10,0.947097,0.2144,0,0,0.0,-1,0,0,0
smart-calm,6,1200.0,186,104,82,0.903846,0.951923,0.936784,5.067394,4.533542,5.067394,15.246784,15.493568,99,94,3764,4697,3842,855,105,1159.144448,197.163703,0.164303,459.021201,1487.678723,1946.699924,0.504588,0.300452,0.704278,17337,212816,230153,0.075328,107300,0.466212,2465,1326,736,14,74,30,552,8,0.943162,0.182031,11,142,166.488131,0,73,1,30
smart-calm-static,6,1200.0,186,104,82,0.865385,0.913462,0.93778,7.47514,7.085176,7.47514,15.246784,15.585522,95,90,3768,5560,4660,900,102,1372.11904,215.48549,0.179571,543.35914,1746.177517,2289.536657,0.593452,0.355656,0.85487,17308,255132,272440,0.06353,126994,0.466136,2852,1539,783,15,50,54,1401,9,0.947612,0.161871,0,0,0.0,1,0,104,0
smart-calm-no-fallback,6,1200.0,186,104,82,0.798077,0.846154,0.913639,0.946596,0.742436,0.946596,2.493568,2.740352,88,83,3671,4362,3419,943,93,1076.471808,182.578297,0.152149,426.282836,1382.272751,1808.555586,0.481768,0.286753,0.61241,15934,197804,213738,0.074549,99959,0.467671,2336,1173,834,16,79,25,190,10,0.951463,0.216185,8,142,148.199493,1,55,49,0
smart-calm-no-confidence,6,1200.0,186,104,82,0.903846,0.951923,0.936784,5.067394,4.533542,5.067394,15.246784,15.493568,99,94,3764,4697,3842,855,105,1159.144448,197.163703,0.164303,459.021201,1487.678723,1946.699924,0.504588,0.300452,0.704278,17337,212816,230153,0.075328,107300,0.466212,2465,1326,736,14,74,30,552,8,0.943162,0.182031,11,142,166.488131,0,73,1,30
meshtastic-like,7,1200.0,222,123,99,0.723577,0.926829,0.922696,0.653228,0.908587,0.653228,4.783964,1.279669,114,89,4476,8222,8087,135,135,2029.058048,327.858434,0.273215,803.506987,2679.975788,3483.482775,0.763085,0.444482,0.854704,21017,381812,402829,0.052174,216813,0.538226,6077,3633,0,0,0,0,0,0,0.0,0.016419,0,0,0.0,-1,0,0,0
meshcore-like,7,1200.0,222,123,99,0.463415,0.617886,0.941662,0.512314,0.358259,0.512314,0.740352,0.50985,76,57,4568,5895,4748,1147,76,1454.79168,192.550723,0.160459,576.097505,1777.910033,2354.007539,0.508975,0.31455,0.381597,15870,272985,288855,0.054941,120873,0.418456,2842,0,1049,22,65,58,0,0,0.0,0.194572,0,0,0.0,-1,0,0,0
calm-mesh,7,1200.0,222,123,99,0.699187,0.764228,0.961039,0.932698,0.733147,0.932698,2.493568,2.740352,94,86,4662,5303,4168,1135,100,1308.695552,224.486718,0.187072,518.243439,1672.822812,2191.066251,0.461471,0.275631,0.532182,18587,241260,259847,0.071531,121602,0.467975,3250,1490,1018,17,89,34,99,13,0.942612,0.21403,0,0,0.0,-1,0,0,0
smart-calm,7,1200.0,222,123,99,0.853659,0.934959,0.943311,4.034598,3.527333,4.034598,15.246784,15.493568,115,105,4576,5526,4388,1138,126,1363.728384,241.807897,0.201507,540.03644,1756.486601,2296.523041,0.490605,0.291333,0.645391,20756,250018,270774,0.076654,128302,0.473834,3173,1538,997,15,89,34,320,13,0.947369,0.205936,11,161,147.40665,0,93,19,11
