protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshtastic-like,7,1200.0,222,123,99,0.723577,0.926829,0.922696,0.653228,0.908587,0.653228,4.783964,1.279669,114,89,4476,8222,8087,135,135,2029.058048,327.858434,0.273215,803.506987,2679.975788,3483.482775,0.763085,0.444482,0.854704,21017,381812,402829,0.052174,216813,0.538226,6077,3633,0,0,0,0,0,0,0.0,0.016419,0,0,0.0,-1,0,0,0
meshcore-like,7,1200.0,222,123,99,0.463415,0.617886,0.941662,0.512314,0.358259,0.512314,0.740352,0.50985,76,57,4568,5895,4748,1147,76,1454.79168,192.550723,0.160459,576.097505,1777.910033,2354.007539,0.508975,0.31455,0.381597,15870,272985,288855,0.054941,120873,0.418456,2842,0,1049,22,65,58,0,0,0.0,0.194572,0,0,0.0,-1,0,0,0
calm-mesh,7,1200.0,222,123,99,0.699187,0.764228,0.961039,0.932698,0.733147,0.932698,2.493568,2.740352,94,86,4662,5303,4168,1135,100,1308.695552,224.486718,0.187072,518.243439,1672.822812,2191.066251,0.461471,0.275631,0.532182,18587,241260,259847,0.071531,121602,0.467975,3250,1490,1018,17,89,34,99,13,0.942612,0.21403,0,0,0.0,-1,0,0,0
smart-calm,7,1200.0,222,123,99,0.861789,0.910569,0.945372,12.032167,9.703544,12.032167,35.357837,70.493568,112,106,4586,5818,4727,1091,129,1435.789312,254.257469,0.211881,568.572568,1851.466055,2420.038623,0.51578,0.306008,0.807542,21407,263675,285082,0.075091,135915,0.476758,3423,1656,946,16,90,33,663,12,0.940773,0.187521,5,161,118.658985,0,105,18,0
meshtastic-like,8,1200.0,207,100,107,0.77,0.97,0.931337,0.661826,0.705294,0.661826,2.872856,2.272914,97,77,4883,8068,7953,115,115,1991.053312,303.252554,0.25271,788.457112,2617.668326,3406.125438,0.686719,0.401422,0.698698,19025,375670,394695,0.048202,210360,0.532968,5016,3153,0,0,0,0,0,0,0.0,0.014254,0,0,0.0,-1,0,0,0
meshcore-like,8,1200.0,207,100,107,0.48,0.7,0.953843,0.493568,0.394854,0.493568,0.740352,0.493568,70,48,5001,6453,5185,1268,70,1592.497152,189.848792,0.158207,630.628872,1939.617525,2570.246397,0.50906,0.315408,0.3648,15410,300787,316197,0.048735,131225,0.41501,2298,0,1174,24,56,44,0,0,0.0,0.196498,0,0,0.0,-1,0,0,0
calm-mesh,8,1200.0,207,100,107,0.75,0.82,0.940492,0.911273,0.822658,0.911273,2.493568,2.740352,82,75,4931,5400,4426,974,83,1332.6336,200.140742,0.166784,527.722906,1677.310493,2205.033398,0.440478,0.266207,0.416847,16690,247910,264600,0.063076,119159,0.450336,2300,1336,875,16,76,24,93,11,0.946177,0.18037,0,0,0.0,-1,0,0,0
smart-calm,8,1200.0,207,100,107,0.91,0.94,0.956704,6.990162,4.772468,6.990162,35.246784,35.493568,94,91,5016,5502,4582,920,110,1357.805568,219.462899,0.182886,537.691005,1732.513159,2270.204164,0.444528,0.265871,0.475612,18670,250928,269598,0.069251,124860,0.463134,2514,1417,797,13,83,17,153,11,0.948358,0.167212,6,139,150.854083,1,78,21,1
meshtastic-like,9,1200.0,193,90,103,0.755556,0.911111,0.923321,0.843676,0.853967,0.843676,4.642614,1.763618,82,68,4660,7157,7052,105,105,1766.233088,280.314016,0.233595,699.428303,2337.762876,3037.191178,0.642384,0.373569,0.812479,18020,332428,350448,0.05142,189941,0.541995,5250,3162,0,0,0,0,0,0,0.0,0.014671,0,0,0.0,-1,0,0,0
meshcore-like,9,1200.0,193,90,103,0.322222,0.455556,0.948881,0.493568,0.379205,0.493568,0.740352,0.493568,41,29,4789,5953,4920,1033,41,1469.105152,220.012931,0.183344,581.76564,1873.15791,2454.92355,0.509532,0.30492,0.704618,14079,277618,291697,0.048266,141040,0.483515,4051,0,968,24,41,49,0,0,0.0,0.173526,0,0,0.0,-1,0,0,0
calm-mesh,9,1200.0,193,90,103,0.622222,0.733333,0.958787,0.894779,0.781353,0.894779,2.493568,2.740352,66,56,4839,5230,4276,954,67,1290.68032,208.185909,0.173488,511.109407,1656.331634,2167.441041,0.442787,0.263673,0.580188,15333,240643,255976,0.0599,123170,0.481178,2816,1501,871,16,67,23,33,10,0.942442,0.182409,0,0,0.0,-1,0,0,0
smart-calm,9,1200.0,193,90,103,0.877778,0.922222,0.952447,10.945652,7.783303,10.945652,35.246784,35.493568,83,79,4807,5436,4611,825,90,1341.517824,228.216542,0.19018,531.241058,1721.205881,2252.44694,0.461,0.274564,0.76753,17754,248610,266364,0.066653,126857,0.476254,3341,1771,721,14,64,26,385,7,0.953393,0.151766,3,128,110.960583,0,89,1,0
meshtastic-like,10,1200.0,208,105,103,0.733333,0.87619,0.958589,0.597645,0.734918,0.597645,3.916223,0.767062,92,77,4838,7656,7546,110,110,1889.378304,302.007216,0.251673,748.193808,2502.733372,3250.927181,0.66143,0.384411,0.877977,19371,354891,374262,0.051758,202892,0.542112,5844,3453,0,0,0,0,0,0,0.0,0.014368,0,0,0.0,-1,0,0,0
meshcore-like,10,1200.0,208,105,103,0.342857,0.466667,0.988706,0.493568,0.367658,0.493568,0.740352,0.493568,49,36,4990,5868,5124,744,49,1448.128512,185.92843,0.15494,573.458891,1782.464819,2355.92371,0.468747,0.288127,0.455314,13848,273684,287532,0.048162,124644,0.433496,3265,0,676,19,45,60,0,0,0.0,0.126789,0,0,0.0,-1,0,0,0
calm-mesh,10,1200.0,208,105,103,0.733333,0.771429,0.970279,0.921638,0.768067,0.921638,2.493568,2.740352,81,77,4897,5413,4438,975,82,1335.841792,207.972274,0.17331,528.99335,1695.454144,2224.447493,0.447215,0.268565,0.475547,17357,247880,265237,0.06544,122408,0.461504,2935,1550,878,15,76,29,163,14,0.948954,0.180122,0,0,0.0,-1,0,0,0
smart-calm,10,1200.0,208,105,103,0.885714,0.961905,0.978007,6.354513,7.098214,6.354513,35.246784,35.493568,101,93,4936,5240,4409,831,109,1293.14816,222.028438,0.185024,512.086671,1658.831314,2170.917986,0.43168,0.257138,0.625812,19264,237496,256760,0.075027,120123,0.467842,3100,1685,710,12,89,16,74,10,0.951378,0.158588,1,140,134.902397,0,105,0,0
meshtastic-like,11,1200.0,247,122,125,0.639344,0.95082,0.896327,0.800552,1.070195,0.800552,4.261512,2.446004,116,78,5490,8825,8676,149,149,2177.8688,399.894745,0.333246,862.436045,2968.697224,3831.133269,0.688063,0.39114,1.144981,23518,408662,432180,0.054417,252968,0.58533,7868,4689,0,0,0,0,0,0,0.0,0.016884,0,0,0.0,-1,0,0,0
meshcore-like,11,1200.0,247,122,125,0.401639,0.54918,0.93551,0.523786,0.379384,0.523786,0.740352,0.493568,67,49,5730,7085,5911,1174,69,1748.46464,242.739031,0.202283,692.391997,2170.141712,2862.533709,0.495334,0.302555,0.616521,17807,329358,347165,0.051293,154233,0.444264,4377,0,1080,25,60,62,0,0,0.0,0.165702,0,0,0.0,-1,0,0,0
calm-mesh,11,1200.0,247,122,125,0.647541,0.704918,0.938286,0.803287,0.633029,0.803287,2.493568,2.740352,86,79,5747,6002,5066,936,86,1481.197568,228.185125,0.190154,586.554237,1879.163853,2465.718089,0.423227,0.254239,0.610131,18209,275889,294098,0.061915,136703,0.464821,3003,1815,834,16,88,34,74,10,0.945637,0.155948,0,0,0.0,-1,0,0,0
smart-calm,11,1200.0,247,122,125,0.836066,0.918033,0.905796,15.736217,12.14824,15.736217,35.246784,68.794702,112,102,5548,7021,5977,1044,128,1732.670464,283.453681,0.236211,686.137504,2212.980189,2899.117692,0.513118,0.306667,0.865187,21981,322048,344029,0.063893,163328,0.474751,3754,2117,902,14,78,44,1090,11,0.933695,0.148697,11,158,105.997556,0,83,14,25
meshtastic-like,12,1200.0,213,106,107,0.54717,0.877358,0.952699,0.634807,1.355364,0.634807,5.57401,0.739483,93,58,4995,7664,7551,113,113,1891.352576,327.35553,0.272796,748.97562,2541.662953,3290.638574,0.651225,0.374303,0.967927,19106,356430,375536,0.050877,212153,0.564934,6306,3783,0,0,0,0,0,0,0.0,0.014744,0,0,0.0,-1,0,0,0
