seed,pair_index,source,destination,selected_graph_hops,protocol,matched_rreq_timing,unicast_flows,discovery_count,candidate_count,candidate_paths_json,selected_path_json,destination_delivered,ack_confirmed,total_airtime_s,route_cache_hits,route_repair_count,fallback_forward_count,candidate_sets_identical,shared_multi_candidate_set
21,12,48,14,2,etx-mesh,1,1,1,6,"[[48, 6, 17, 14], [48, 6, 28, 14], [48, 10, 14], [48, 15, 14], [48, 33, 14], [48, 40, 14]]","[48, 33, 14]",0,0,3.5968,0,0,0,1,1
21,12,48,14,2,minhop-mesh,1,1,1,6,"[[48, 6, 17, 14], [48, 6, 28, 14], [48, 10, 14], [48, 15, 14], [48, 33, 14], [48, 40, 14]]","[48, 10, 14]",1,1,3.95648,0,0,0,1,1
21,12,48,14,2,meshcore-like,1,1,1,6,"[[48, 6, 17, 14], [48, 6, 28, 14], [48, 10, 14], [48, 15, 14], [48, 33, 14], [48, 40, 14]]","[48, 10, 14]",1,1,3.95648,0,0,0,1,1
21,13,14,24,2,meshecho,1,1,1,6,"[[14, 3, 34, 24], [14, 24], [14, 42, 24], [14, 42, 31, 24], [14, 46, 24], [14, 48, 32, 24]]","[14, 24]",1,1,3.740672,0,0,0,1,1
21,13,14,24,2,etx-mesh,1,1,1,6,"[[14, 3, 34, 24], [14, 24], [14, 42, 24], [14, 42, 31, 24], [14, 46, 24], [14, 48, 32, 24]]","[14, 24]",1,1,3.740672,0,0,0,1,1
21,13,14,24,2,minhop-mesh,1,1,1,6,"[[14, 3, 34, 24], [14, 24], [14, 42, 24], [14, 42, 31, 24], [14, 46, 24], [14, 48, 32, 24]]","[14, 24]",1,1,3.740672,0,0,0,1,1
21,13,14,24,2,meshcore-like,1,1,1,6,"[[14, 3, 34, 24], [14, 24], [14, 42, 24], [14, 42, 31, 24], [14, 46, 24], [14, 48, 32, 24]]","[14, 24]",1,1,3.740672,0,0,0,1,1
21,14,38,39,2,meshecho,1,1,1,4,"[[38, 32, 39], [38, 34, 39], [38, 46, 7, 39], [38, 48, 39]]","[38, 34, 39]",1,1,3.95648,0,0,0,1,1
21,14,38,39,2,etx-mesh,1,1,1,4,"[[38, 32, 39], [38, 34, 39], [38, 46, 7, 39], [38, 48, 39]]","[38, 34, 39]",1,1,3.95648,0,0,0,1,1
21,14,38,39,2,minhop-mesh,1,1,1,4,"[[38, 32, 39], [38, 34, 39], [38, 46, 7, 39], [38, 48, 39]]","[38, 34, 39]",1,1,3.95648,0,0,0,1,1
21,14,38,39,2,meshcore-like,1,1,1,4,"[[38, 32, 39], [38, 34, 39], [38, 46, 7, 39], [38, 48, 39]]","[38, 32, 39]",1,1,3.95648,0,0,0,1,1
21,15,43,45,2,meshecho,1,1,1,5,"[[43, 16, 36, 45], [43, 16, 45], [43, 20, 8, 45], [43, 40, 45], [43, 45]]","[43, 16, 45]",1,1,3.95648,0,0,0,1,1
21,15,43,45,2,etx-mesh,1,1,1,5,"[[43, 16, 36, 45], [43, 16, 45], [43, 20, 8, 45], [43, 40, 45], [43, 45]]","[43, 45]",1,1,3.740672,0,0,0,1,1
21,15,43,45,2,minhop-mesh,1,1,1,5,"[[43, 16, 36, 45], [43, 16, 45], [43, 20, 8, 45], [43, 40, 45], [43, 45]]","[43, 45]",1,1,3.740672,0,0,0,1,1
21,15,43,45,2,meshcore-like,1,1,1,5,"[[43, 16, 36, 45], [43, 16, 45], [43, 20, 8, 45], [43, 40, 45], [43, 45]]","[43, 45]",1,1,3.740672,0,0,0,1,1
21,16,3,47,2,meshecho,1,1,1,5,"[[3, 10, 19, 47], [3, 13, 47], [3, 33, 27, 47], [3, 43, 47], [3, 44, 47]]","[3, 44, 47]",1,1,3.95648,0,0,0,1,1
21,16,3,47,2,etx-mesh,1,1,1,5,"[[3, 10, 19, 47], [3, 13, 47], [3, 33, 27, 47], [3, 43, 47], [3, 44, 47]]","[3, 13, 47]",1,1,3.95648,0,0,0,1,1
21,16,3,47,2,minhop-mesh,1,1,1,5,"[[3, 10, 19, 47], [3, 13, 47], [3, 33, 27, 47], [3, 43, 47], [3, 44, 47]]","[3, 44, 47]",1,1,3.95648,0,0,0,1,1
21,16,3,47,2,meshcore-like,1,1,1,5,"[[3, 10, 19, 47], [3, 13, 47], [3, 33, 27, 47], [3, 43, 47], [3, 44, 47]]","[3, 13, 47]",1,1,3.95648,0,0,0,1,1
21,17,31,6,2,meshecho,1,1,1,6,"[[31, 6], [31, 10, 14, 6], [31, 15, 6], [31, 28, 6], [31, 30, 6], [31, 40, 6]]","[31, 28, 6]",0,0,3.740672,0,0,0,1,1
21,17,31,6,2,etx-mesh,1,1,1,6,"[[31, 6], [31, 10, 14, 6], [31, 15, 6], [31, 28, 6], [31, 30, 6], [31, 40, 6]]","[31, 6]",0,0,3.5968,0,0,0,1,1
21,17,31,6,2,minhop-mesh,1,1,1,6,"[[31, 6], [31, 10, 14, 6], [31, 15, 6], [31, 28, 6], [31, 30, 6], [31, 40, 6]]","[31, 6]",0,0,3.5968,0,0,0,1,1
21,17,31,6,2,meshcore-like,1,1,1,6,"[[31, 6], [31, 10, 14, 6], [31, 15, 6], [31, 28, 6], [31, 30, 6], [31, 40, 6]]","[31, 6]",0,0,3.5968,0,0,0,1,1
21,18,49,47,2,meshecho,1,1,1,4,"[[49, 13, 44, 47], [49, 19, 47], [49, 43, 47], [49, 47]]","[49, 19, 47]",1,1,3.95648,0,0,0,1,1
21,18,49,47,2,etx-mesh,1,1,1,4,"[[49, 13, 44, 47], [49, 19, 47], [49, 43, 47], [49, 47]]","[49, 47]",1,1,3.740672,0,0,0,1,1
21,18,49,47,2,minhop-mesh,1,1,1,4,"[[49, 13, 44, 47], [49, 19, 47], [49, 43, 47], [49, 47]]","[49, 47]",1,1,3.740672,0,0,0,1,1
21,18,49,47,2,meshcore-like,1,1,1,4,"[[49, 13, 44, 47], [49, 19, 47], [49, 43, 47], [49, 47]]","[49, 47]",1,1,3.740672,0,0,0,1,1
21,19,12,43,2,meshecho,1,1,1,5,"[[12, 6, 17, 43], [12, 27, 43], [12, 37, 44, 43], [12, 41, 13, 43], [12, 47, 43]]","[12, 47, 43]",1,1,3.95648,0,0,0,1,1
21,19,12,43,2,etx-mesh,1,1,1,5,"[[12, 6, 17, 43], [12, 27, 43], [12, 37, 44, 43], [12, 41, 13, 43], [12, 47, 43]]","[12, 47, 43]",1,1,3.95648,0,0,0,1,1
21,19,12,43,2,minhop-mesh,1,1,1,5,"[[12, 6, 17, 43], [12, 27, 43], [12, 37, 44, 43], [12, 41, 13, 43], [12, 47, 43]]","[12, 47, 43]",1,1,3.95648,0,0,0,1,1
21,19,12,43,2,meshcore-like,1,1,1,5,"[[12, 6, 17, 43], [12, 27, 43], [12, 37, 44, 43], [12, 41, 13, 43], [12, 47, 43]]","[12, 27, 43]",1,1,3.95648,0,0,0,1,1
21,20,39,40,2,meshecho,1,1,1,3,"[[39, 10, 19, 40], [39, 30, 17, 40], [39, 40]]","[39, 10, 19, 40]",0,0,3.5968,0,0,0,1,1
21,20,39,40,2,etx-mesh,1,1,1,3,"[[39, 10, 19, 40], [39, 30, 17, 40], [39, 40]]","[39, 40]",0,0,3.5968,0,0,0,1,1
21,20,39,40,2,minhop-mesh,1,1,1,3,"[[39, 10, 19, 40], [39, 30, 17, 40], [39, 40]]","[39, 40]",0,0,3.5968,0,0,0,1,1
21,20,39,40,2,meshcore-like,1,1,1,3,"[[39, 10, 19, 40], [39, 30, 17, 40], [39, 40]]","[39, 40]",0,0,3.5968,0,0,0,1,1
21,21,31,14,2,meshecho,1,1,1,1,"[[31, 23, 14]]","[31, 23, 14]",1,1,3.95648,0,0,0,1,0
21,21,31,14,2,etx-mesh,1,1,1,1,"[[31, 23, 14]]","[31, 23, 14]",1,1,3.95648,0,0,0,1,0
21,21,31,14,2,minhop-mesh,1,1,1,1,"[[31, 23, 14]]","[31, 23, 14]",1,1,3.95648,0,0,0,1,0
21,21,31,14,2,meshcore-like,1,1,1,1,"[[31, 23, 14]]","[31, 23, 14]",1,1,3.95648,0,0,0,1,0
21,22,44,24,2,meshecho,1,1,1,5,"[[44, 4, 20, 24], [44, 9, 49, 24], [44, 18, 24], [44, 24], [44, 46, 24]]","[44, 46, 24]",1,1,3.95648,0,0,0,1,1
21,22,44,24,2,etx-mesh,1,1,1,5,"[[44, 4, 20, 24], [44, 9, 49, 24], [44, 18, 24], [44, 24], [44, 46, 24]]","[44, 24]",1,1,3.740672,0,0,0,1,1
21,22,44,24,2,minhop-mesh,1,1,1,5,"[[44, 4, 20, 24], [44, 9, 49, 24], [44, 18, 24], [44, 24], [44, 46, 24]]","[44, 24]",1,1,3.740672,0,0,0,1,1
21,22,44,24,2,meshcore-like,1,1,1,5,"[[44, 4, 20, 24], [44, 9, 49, 24], [44, 18, 24], [44, 24], [44, 46, 24]]","[44, 24]",1,1,3.740672,0,0,0,1,1
