protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,route_ttl_s,evaluation_variant,scenario
meshcore-like,9,1200.0,127,58,69,0.413793,0.655172,0.97131,0.493568,0.428625,0.493568,0.740352,0.493568,38,24,3284,4273,3383,890,38,1054.508032,131.038372,0.109199,417.585181,1293.374732,1710.959913,0.517219,0.318775,0.474843,9945,199432,209377,0.047498,89644,0.428146,2050,0,835,17,19,14,30,28,0,0,0.0,0.208285,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,9,1200.0,127,58,69,0.482759,0.706897,0.97131,0.493568,0.379205,0.493568,0.740352,0.493568,41,28,3284,4088,3395,693,41,1008.852992,127.441903,0.106202,399.505785,1243.129485,1642.63527,0.495965,0.304605,0.410999,9925,190387,200312,0.049548,86378,0.431217,1981,0,639,13,15,11,36,22,0,0,0.0,0.169521,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,9,1200.0,127,58,69,0.793103,0.862069,0.983437,1.215485,0.955884,1.215485,2.493568,2.740352,50,46,3325,3851,3049,802,50,950.365184,128.944539,0.107454,376.344613,1182.734531,1559.079143,0.462498,0.281924,0.40282,10948,177751,188699,0.058018,82583,0.437644,1391,851,737,15,17,14,38,20,80,10,0.950379,0.208258,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,10,1200.0,133,72,61,0.444444,0.708333,0.967213,0.493568,0.420984,0.493568,0.740352,0.493568,51,32,2891,4010,3006,1004,51,989.60384,128.277176,0.106898,391.883121,1218.065579,1609.9487,0.550786,0.338558,0.351954,10678,185812,196490,0.054344,83310,0.423991,1842,0,933,20,21,18,39,33,0,0,0.0,0.250374,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,10,1200.0,133,72,61,0.555556,0.75,0.982268,0.493568,0.356466,0.493568,0.740352,0.493568,54,40,2936,3760,3054,706,54,927.90784,123.355919,0.102797,367.451505,1144.073371,1511.524876,0.507905,0.311797,0.406649,10417,173823,184240,0.05654,78177,0.424322,1646,0,638,14,14,12,49,23,0,0,0.0,0.187766,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,10,1200.0,133,72,61,0.847222,0.902778,0.978923,1.04201,0.834114,1.04201,2.493568,2.740352,65,61,2926,3470,2655,815,65,856.34048,130.975684,0.109146,339.11083,1075.801908,1414.912738,0.47369,0.286689,0.422735,12083,157947,170030,0.071064,74460,0.437923,1555,866,736,14,16,14,56,16,83,8,0.950514,0.23487,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,11,1200.0,140,66,74,0.454545,0.772727,0.94374,0.493568,0.450018,0.493568,0.740352,0.493568,51,30,3422,4751,3547,1204,51,1172.470784,152.914075,0.127428,464.29843,1440.847468,1905.145899,0.551896,0.33965,0.497411,11956,220843,232799,0.051358,99561,0.427669,2339,0,1128,25,24,21,35,31,0,0,0.0,0.25342,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
meshcore-like,11,1200.0,140,66,74,0.621212,0.80303,0.899338,0.505606,0.367848,0.505606,0.740352,0.493568,53,41,3261,4186,3384,802,53,1033.037824,133.994489,0.111662,409.082978,1262.128731,1671.21171,0.506121,0.312852,0.427364,11116,193998,205114,0.054194,85365,0.416183,1882,0,734,15,16,14,46,20,0,0,0.0,0.191591,0,0,0.0,-1,0,0,0,600.0,meshcore-matched-ttl-600,main_mixed_route_ttl_audit
calm-mesh,11,1200.0,140,66,74,0.69697,0.727273,0.928847,0.976634,0.88055,0.976634,2.493568,2.740352,48,46,3368,3845,3048,797,51,948.88448,141.474115,0.117895,375.758254,1193.706281,1569.464535,0.459714,0.277939,0.497131,11240,177165,188405,0.059659,85558,0.454117,1935,992,732,14,16,12,42,24,83,9,0.945911,0.207282,0,0,0.0,-1,0,0,0,600.0,meshecho-ttl-600,main_mixed_route_ttl_audit
meshcore-like,12,1200.0,132,63,69,0.111111,0.238095,0.992606,0.564078,0.526473,0.564078,0.740352,0.839066,15,7,3356,4032,3416,616,16,995.033088,125.236844,0.104364,394.033103,1236.385382,1630.418485,0.484811,0.295877,0.533449,7664,189904,197568,0.038792,89895,0.455008,2064,0,583,17,14,9,8,55,0,0,0.0,0.152778,0,0,0.0,-1,0,0,0,300.0,meshcore-native-ttl-300,main_mixed_route_ttl_audit
