protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
ett-mesh,13,1200.0,129,63,66,0.777778,0.793651,0.939394,1.043801,0.830948,1.043801,2.493568,2.740352,50,49,3038,3480,2679,801,50,858.80832,120.939942,0.100783,340.088095,1081.262618,1421.350713,0.460431,0.278202,0.358222,10657,159863,170520,0.062497,77019,0.451671,1297,802,736,15,16,13,46,17,0,8,0.772136,0.230172,0,0,0.0,-1,0,0,0
minhop-mesh,13,1200.0,129,63,66,0.777778,0.793651,0.939394,1.043801,0.830948,1.043801,2.493568,2.740352,50,49,3038,3480,2679,801,50,858.80832,120.939942,0.100783,340.088095,1081.262618,1421.350713,0.460431,0.278202,0.358222,10657,159863,170520,0.062497,77019,0.451671,1297,802,736,15,16,13,46,17,0,8,0.949364,0.230172,0,0,0.0,-1,0,0,0
meshecho,13,1200.0,129,63,66,0.777778,0.793651,0.998763,1.084617,0.826012,1.084617,2.493568,2.740352,50,49,3230,3708,2910,798,50,915.075072,135.454192,0.112878,362.369729,1138.881083,1501.250811,0.457838,0.279071,0.492856,11222,170421,181643,0.061781,79174,0.435877,1596,849,733,15,16,14,46,17,36,8,0.949772,0.21521,0,0,0.0,-1,0,0,0
meshtastic-like,14,1200.0,114,46,68,0.934783,0.956522,0.92437,0.624995,0.358398,0.624995,0.246784,0.493568,44,43,3080,4459,4412,47,47,1100.409856,147.278892,0.122732,435.762303,1422.879969,1858.642272,0.595146,0.352357,0.465221,9642,208114,217756,0.044279,111707,0.512992,2216,1507,0,0,0,0,0,0,0,0,0.0,0.01054,0,0,0.0,-1,0,0,0
meshcore-like,14,1200.0,114,46,68,0.847826,0.847826,0.960984,1.127276,0.880492,1.127276,2.493568,2.740352,39,39,3202,4093,3304,789,39,1010.086912,131.265004,0.109388,399.994417,1246.862229,1646.856646,0.508132,0.311659,0.481953,10326,190231,200557,0.051487,87037,0.433976,1846,0,735,15,15,13,30,16,0,0,0.0,0.192768,0,0,0.0,-1,0,0,0
etx-mesh,14,1200.0,114,46,68,0.847826,0.847826,0.948379,1.127276,0.880492,1.127276,2.493568,2.740352,39,39,3160,3584,2799,785,39,884.473856,126.738937,0.105616,350.251647,1120.804537,1471.056184,0.459849,0.276484,0.414608,10048,165568,175616,0.057216,82164,0.467862,1624,842,731,15,15,13,30,16,0,7,0.473729,0.219029,0,0,0.0,-1,0,0,0
ett-mesh,14,1200.0,114,46,68,0.847826,0.847826,0.948379,1.127276,0.880492,1.127276,2.493568,2.740352,39,39,3160,3584,2799,785,39,884.473856,126.738937,0.105616,350.251647,1120.804537,1471.056184,0.459849,0.276484,0.414608,10048,165568,175616,0.057216,82164,0.467862,1624,842,731,15,15,13,30,16,0,7,0.776381,0.219029,0,0,0.0,-1,0,0,0
minhop-mesh,14,1200.0,114,46,68,0.847826,0.847826,0.948379,1.127276,0.880492,1.127276,2.493568,2.740352,39,39,3160,3584,2799,785,39,884.473856,126.738937,0.105616,350.251647,1120.804537,1471.056184,0.459849,0.276484,0.414608,10048,165568,175616,0.057216,82164,0.467862,1624,842,731,15,15,13,30,16,0,7,0.953413,0.219029,0,0,0.0,-1,0,0,0
meshecho,14,1200.0,114,46,68,0.869565,0.869565,0.981393,1.111434,0.86465,1.111434,2.493568,2.740352,40,40,3270,3709,2923,786,40,915.321856,131.508636,0.109591,362.467455,1144.517945,1506.9854,0.455283,0.276532,0.543809,10300,171441,181741,0.056674,81288,0.447274,1610,872,731,15,15,14,31,15,0,7,0.953991,0.211917,0,0,0.0,-1,0,0,0
meshtastic-like,15,1200.0,135,68,67,0.823529,1.0,0.894304,0.643701,0.77463,0.643701,3.1561,2.243137,68,56,2936,5319,5236,83,83,1312.644096,198.820098,0.165683,519.807062,1719.511467,2239.318529,0.748435,0.438718,0.643422,12938,247693,260631,0.049641,136819,0.524953,3371,2071,0,0,0,0,0,0,0,0,0.0,0.015604,0,0,0.0,-1,0,0,0
