protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
smart-calm,8,1200.0,105,105,0,0.847619,0.933333,0.0,7.465642,6.642816,7.465642,35.246784,35.493568,98,89,0,1619,765,854,107,399.543296,94.476604,0.078731,158.219145,517.140188,675.359333,7.588307,4.489251,6.642816,11980,67351,79331,0.151013,32030,0.403751,459,145,733,14,75,30,647,9,0.947696,0.527486,10,145,81.858307,1,27,74,4
meshtastic-like,9,1200.0,128,128,0,0.835938,0.96875,0.0,0.646786,0.634174,0.646786,3.431833,1.476225,124,107,0,5081,4937,144,144,1253.909504,203.268448,0.16939,496.548164,1661.205171,2157.753335,20.165919,11.71878,0.634174,15193,233776,248969,0.061024,132174,0.530885,3239,2041,0,0,0,0,0,0,0.0,0.028341,0,0,0.0,-1,0,0,0
meshcore-like,9,1200.0,128,128,0,0.773438,0.96875,0.0,0.493568,0.342313,0.493568,0.740352,0.493568,124,99,0,1452,128,1324,124,358.330368,90.197376,0.075164,141.898826,462.499531,604.398356,6.105034,3.619499,0.342313,13750,57398,71148,0.193259,25376,0.356665,386,0,1176,24,104,24,0,0,0.0,0.911846,0,0,0.0,-1,0,0,0
calm-mesh,9,1200.0,128,128,0,0.851562,0.851562,0.0,0.782146,0.535362,0.782146,2.493568,2.740352,109,109,0,973,114,859,109,240.120832,75.052808,0.062544,95.087849,308.609831,403.69768,3.703648,2.202943,0.535362,12344,35333,47677,0.258909,13561,0.284435,180,0,735,15,100,28,0,7,0.94697,0.882837,0,0,0.0,-1,0,0,0
smart-calm,9,1200.0,128,128,0,0.929688,0.953125,0.0,5.092851,5.328148,5.092851,35.246784,35.493568,122,119,0,1373,600,773,123,338.834432,91.6956,0.076413,134.178435,442.124622,576.303057,4.842883,2.847348,5.328148,13654,53623,67277,0.202952,24500,0.364166,356,123,637,13,102,26,473,5,0.94626,0.563001,2,165,146.721667,1,51,77,0
meshtastic-like,10,1200.0,119,119,0,0.823529,0.92437,0.0,0.670119,0.69213,0.670119,3.264106,2.270885,110,98,0,4497,4371,126,126,1109.787648,176.234,0.146862,439.475909,1467.74,1907.215908,19.461387,11.324364,0.69213,13759,206545,220304,0.062455,116082,0.526917,2728,1820,0,0,0,0,0,0,0.0,0.028019,0,0,0.0,-1,0,0,0
meshcore-like,10,1200.0,119,119,0,0.445378,0.588235,0.0,0.493568,0.3596,0.493568,0.740352,0.493568,70,53,0,1095,74,1021,70,270.22848,61.617944,0.051348,107.010478,350.04748,457.057958,8.623735,5.098651,0.3596,8331,45324,53655,0.15527,21477,0.40028,414,0,930,21,58,61,0,0,0.0,0.93242,0,0,0.0,-1,0,0,0
calm-mesh,10,1200.0,119,119,0,0.672269,0.689076,0.0,0.746331,0.493382,0.746331,2.493568,2.740352,82,80,0,871,89,782,82,214.948864,60.009758,0.050008,85.11975,276.793433,361.913183,4.523915,2.686861,0.493382,9400,33279,42679,0.220249,13920,0.326156,214,0,686,14,77,42,0,6,0.943593,0.897819,0,0,0.0,-1,0,0,0
smart-calm,10,1200.0,119,119,0,0.94958,0.97479,0.0,11.517996,11.302571,11.517996,35.246784,35.493568,116,113,0,1916,1143,773,122,472.838144,102.376541,0.085314,187.243905,608.403675,795.64758,7.041129,4.184408,11.302571,13412,80423,93835,0.142932,37721,0.401993,682,291,637,14,78,41,1042,5,0.950477,0.403445,11,157,119.723307,0,114,2,3
meshtastic-like,11,1200.0,123,123,0,0.804878,0.934959,0.0,0.655845,0.746303,0.655845,3.975478,2.122916,115,99,0,4573,4444,129,129,1128.543232,182.374163,0.151978,446.90312,1497.031553,1943.934673,19.635704,11.399427,0.746303,13856,210221,224077,0.061836,119314,0.532469,2918,1934,0,0,0,0,0,0,0.0,0.028209,0,0,0.0,-1,0,0,0
meshcore-like,11,1200.0,123,123,0,0.544715,0.691057,0.0,0.530401,0.362918,0.530401,0.740352,0.987136,85,67,0,1293,101,1192,90,319.091712,80.227921,0.066857,126.360318,421.221257,547.581575,8.172859,4.762563,0.362918,10883,52474,63357,0.171773,26217,0.413798,789,0,1078,24,75,48,0,0,0.0,0.921887,0,0,0.0,-1,0,0,0
calm-mesh,11,1200.0,123,123,0,0.943089,0.95935,0.0,0.801342,0.549341,0.801342,2.493568,2.740352,118,116,0,1085,166,919,118,267.76064,80.976704,0.067481,106.033213,349.695176,455.72839,3.928693,2.308281,0.549341,13217,39948,53165,0.248603,16996,0.319684,264,10,785,16,106,17,44,9,0.948835,0.847005,0,0,0.0,-1,0,0,0
smart-calm,11,1200.0,123,123,0,0.926829,0.97561,0.0,12.072177,11.334309,12.072177,35.246784,35.493568,120,114,0,2199,1277,922,125,542.678016,114.298406,0.095249,214.900494,698.358605,913.2591,8.011045,4.760333,11.334309,14031,93720,107751,0.130217,44837,0.416117,864,358,783,14,79,44,1169,9,0.956401,0.419281,4,162,112.964992,1,99,24,0
meshtastic-like,12,1200.0,134,134,0,0.835821,0.970149,0.0,0.729218,0.669166,0.729218,3.439061,2.251189,130,112,0,5281,5122,159,159,1303.266304,214.495898,0.178747,516.093456,1725.710338,2241.803795,20.016105,11.636306,0.669166,16604,242165,258769,0.064165,136432,0.527235,3538,2183,0,0,0,0,0,0,0.0,0.030108,0,0,0.0,-1,0,0,0
meshcore-like,12,1200.0,134,134,0,0.716418,0.91791,0.0,0.524416,0.355128,0.524416,0.740352,0.987136,123,96,0,1623,142,1481,129,400.530432,97.683225,0.081403,158.610051,514.623732,673.233783,7.012852,4.172192,0.355128,14702,64825,79527,0.184868,28488,0.358218,524,0,1323,29,106,28,0,0,0.0,0.912508,0,0,0.0,-1,0,0,0
