protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
calm-mesh,10,1200.0,133,72,61,0.902778,0.998996,0.884109,65,2986,3531,2790,741,871.394304,0.285609,0.337088,9052,163967,77449,1438,801,727,14,56,16,66,8,0.950514,0.209856,0,0,0.0,-1
smart-calm,10,1200.0,133,72,61,0.972222,0.978923,4.610417,70,2926,3751,3118,633,925.686784,0.308974,0.428197,9126,174673,82527,1572,911,621,12,56,16,462,7,0.95165,0.168755,5,111,116.558974,0
meshtastic-like,11,1200.0,140,66,74,0.939394,0.94567,0.455554,62,3429,5392,5392,0,1330.659328,0.381169,0.572287,9851,254357,137411,3384,2169,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,11,1200.0,140,66,74,0.80303,0.918643,0.451661,53,3331,4658,3457,1201,1149.519872,0.339693,0.459454,10403,217839,97224,2072,0,1177,24,37,29,0,0,0.0,0.257836,0,0,0.0,-1
calm-mesh,11,1200.0,140,66,74,0.863636,0.931329,0.966218,57,3377,3942,3188,754,972.822528,0.283291,0.42528,9020,184138,85793,1504,912,740,14,43,23,156,11,0.953263,0.191273,0,0,0.0,-1
smart-calm,11,1200.0,140,66,74,0.984848,0.936569,7.582065,65,3396,4203,3553,650,1037.233152,0.299692,0.583275,9427,196520,88390,1651,1017,637,13,48,18,513,5,0.953586,0.154651,1,106,111.019726,0
meshtastic-like,12,1200.0,132,63,69,0.888889,0.983437,0.744967,56,3325,5044,5044,0,1244.778496,0.368169,0.60008,9889,237267,131057,3830,2150,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,12,1200.0,132,63,69,0.396825,0.972789,0.444211,25,3289,4022,3370,652,992.565248,0.299507,0.459944,7519,189559,87029,1794,0,639,13,17,46,0,0,0.0,0.162108,0,0,0.0,-1
calm-mesh,12,1200.0,132,63,69,0.746032,0.990831,1.08175,47,3350,3838,3014,824,947.156992,0.278822,0.539995,9092,178970,88083,1945,1022,810,14,39,24,65,9,0.956015,0.214695,0,0,0.0,-1
smart-calm,12,1200.0,132,63,69,0.936508,0.978705,14.356399,59,3309,4535,3990,545,1119.16544,0.332294,0.805756,9309,212906,103192,2191,1219,536,9,32,31,1073,5,0.950041,0.120176,7,102,94.889609,0
meshtastic-like,13,1200.0,129,63,66,0.936508,0.893321,0.863152,59,2889,4785,4785,0,1180.86144,0.400564,0.441509,8719,225746,123218,2951,1899,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,129,63,66,0.634921,0.924552,0.431872,40,2990,4061,3108,953,1002.189824,0.330756,0.364529,8232,190757,80151,1285,0,932,21,31,32,0,0,0.0,0.234671,0,0,0.0,-1
calm-mesh,13,1200.0,129,63,66,0.857143,0.939085,0.824713,54,3037,3559,2808,751,878.304256,0.284149,0.364772,8290,166101,73311,1201,731,736,15,46,17,39,8,0.949772,0.211014,0,0,0.0,-1
smart-calm,13,1200.0,129,63,66,0.952381,0.937229,8.193098,60,3031,3985,3304,681,983.43424,0.318161,0.567492,8660,186458,90051,1486,917,670,11,40,23,624,8,0.954545,0.170891,3,100,102.486604,0
meshtastic-like,14,1200.0,114,46,68,0.978261,0.953481,0.46248,45,3177,4587,4587,0,1131.998208,0.351334,0.581862,7644,216580,115088,2276,1612,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,114,46,68,0.891304,0.983193,0.487549,41,3276,4384,3383,1001,1081.901056,0.326169,0.462027,8888,205928,93555,1626,0,981,20,25,21,0,0,0.0,0.22833,0,0,0.0,-1
calm-mesh,14,1200.0,114,46,68,0.847826,0.994598,0.931774,39,3314,3704,3003,701,914.087936,0.272618,0.560099,8201,173295,81352,1601,945,687,14,30,16,44,8,0.956192,0.189255,0,0,0.0,-1
smart-calm,14,1200.0,114,46,68,1.0,0.991297,2.302568,46,3303,3720,3136,584,918.03648,0.274123,0.488014,8110,174170,80929,1416,861,573,11,34,12,125,5,0.954918,0.156989,3,86,93.775279,0
meshtastic-like,15,1200.0,135,68,67,0.911765,0.891563,0.768547,62,2927,5093,5093,0,1256.870912,0.420499,0.565841,8879,240678,131048,2915,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,15,1200.0,135,68,67,0.279412,0.923546,0.467591,19,3032,3860,3116,744,952.58624,0.312221,0.583177,7266,181874,87139,1819,0,725,19,11,57,0,0,0.0,0.192746,0,0,0.0,-1
calm-mesh,15,1200.0,135,68,67,0.558824,0.927201,1.111917,38,3044,3586,2916,670,884.967424,0.287141,0.454847,7347,168367,79190,1352,824,657,13,29,39,117,8,0.930242,0.186838,0,0,0.0,-1
smart-calm,15,1200.0,135,68,67,0.941176,0.938776,18.610425,64,3082,4912,4315,597,1212.203008,0.385316,0.820121,9271,231074,108910,2045,1186,587,10,29,39,1486,8,0.946841,0.121539,1,107,87.506129,0
meshtastic-like,16,1200.0,121,53,68,0.943396,0.941777,0.385713,50,3138,4718,4718,0,1164.326912,0.365222,0.61921,8263,222919,120666,2684,1691,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,16,1200.0,121,53,68,0.735849,0.97509,0.449273,39,3249,4139,3337,802,1021.438976,0.310657,0.590707,8633,194178,90963,1941,0,786,16,26,27,0,0,0.0,0.193767,0,0,0.0,-1
calm-mesh,16,1200.0,121,53,68,0.867925,0.952881,0.832902,46,3175,3485,2835,650,860.04224,0.267011,0.469834,8094,162671,74965,1380,801,637,13,40,13,0,5,0.952049,0.186514,0,0,0.0,-1
smart-calm,16,1200.0,121,53,68,0.981132,0.947779,6.681165,52,3158,3697,3147,550,912.360448,0.284224,0.638959,8304,172849,81234,1584,925,539,11,39,14,337,3,0.953723,0.148769,1,93,98.894598,0
