protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count
meshecho,15,1200.0,215,102,113,0.401961,0.470588,0.946541,0.822366,0.621248,0.822366,2.493568,2.740352,48,41,5241,5424,4633,791,48,1338.556416,196.56978,0.163808,530.068341,1672.218862,2202.287203,0.416942,0.253418,0.583727,13525,252251,265776,0.050889,121084,0.455587,2745,1464,729,14,16,9,51,51,5,9,0.941907,0.145833,0,0,0.0,-1,0,0,0
meshtastic-like,16,1200.0,199,98,101,0.693878,0.908163,0.945444,0.729033,1.099952,0.729033,4.416187,2.315056,89,68,4679,7642,7535,107,107,1885.923328,293.570445,0.244642,746.825638,2481.125399,3227.951037,0.679998,0.397287,0.784764,17579,356879,374458,0.046945,201237,0.537409,4680,2884,0,0,0,0,0,0,0,0,0.0,0.014002,0,0,0.0,-1,0,0,0
meshcore-like,16,1200.0,199,98,101,0.316327,0.316327,0.940998,0.855953,0.609169,0.855953,2.493568,2.740352,31,31,4657,5353,4785,568,31,1321.034752,171.315044,0.142763,523.129762,1628.516402,2151.646164,0.458969,0.281791,0.519068,11314,250983,262297,0.043134,116274,0.443291,2649,0,529,8,12,7,32,66,0,0,0.0,0.106109,0,0,0.0,-1,0,0,0
etx-mesh,16,1200.0,199,98,101,0.561224,0.581633,0.918367,0.902074,0.640957,0.902074,2.493568,2.740352,57,55,4545,5093,4049,1044,57,1256.870912,195.660697,0.163051,497.720881,1615.128854,2112.849735,0.459315,0.273233,0.490707,14486,235071,249557,0.058047,122460,0.49071,2685,1261,971,16,22,12,57,41,0,14,0.467025,0.204987,0,0,0.0,-1,0,0,0
ett-mesh,16,1200.0,199,98,101,0.561224,0.581633,0.918367,0.902074,0.640957,0.902074,2.493568,2.740352,57,55,4545,5093,4049,1044,57,1256.870912,195.660697,0.163051,497.720881,1615.128854,2112.849735,0.459315,0.273233,0.490707,14486,235071,249557,0.058047,122460,0.49071,2685,1261,971,16,22,12,57,41,0,14,0.769902,0.204987,0,0,0.0,-1,0,0,0
minhop-mesh,16,1200.0,199,98,101,0.561224,0.581633,0.918367,0.902074,0.640957,0.902074,2.493568,2.740352,57,55,4545,5093,4049,1044,57,1256.870912,195.660697,0.163051,497.720881,1615.128854,2112.849735,0.459315,0.273233,0.490707,14486,235071,249557,0.058047,122460,0.49071,2685,1261,971,16,22,12,57,41,0,14,0.946589,0.204987,0,0,0.0,-1,0,0,0
meshecho,16,1200.0,199,98,101,0.602041,0.602041,0.9216,0.976074,0.72929,0.976074,2.493568,2.740352,59,59,4561,5176,4224,952,59,1277.353984,198.162467,0.165135,505.832178,1620.740552,2126.572729,0.460297,0.276484,0.590311,14421,239203,253624,0.05686,119406,0.470799,2457,1289,877,16,21,12,57,41,134,13,0.946886,0.183926,0,0,0.0,-1,0,0,0
meshtastic-like,17,1200.0,206,100,106,0.73,0.87,0.915479,0.803295,0.785915,0.803295,3.85041,2.306769,87,73,4755,7493,7382,111,111,1849.152512,298.811938,0.24901,732.264395,2452.496513,3184.760908,0.659644,0.383006,0.857342,18945,348212,367157,0.051599,199793,0.544162,5575,3358,0,0,0,0,0,0,0,0,0.0,0.014814,0,0,0.0,-1,0,0,0
meshcore-like,17,1200.0,206,100,106,0.57,0.6,0.922025,0.730072,0.546355,0.730072,2.493568,2.740352,60,57,4789,5673,4963,710,60,1400.005632,204.732876,0.170611,554.40223,1750.908456,2305.310686,0.475714,0.288899,0.526449,15319,262658,277977,0.055109,124993,0.449652,3550,0,638,12,14,11,62,38,0,0,0.0,0.125154,0,0,0.0,-1,0,0,0
etx-mesh,17,1200.0,206,100,106,0.61,0.62,0.924528,0.898726,0.645407,0.898726,2.493568,2.740352,62,61,4802,5018,4072,946,62,1238.362112,206.960219,0.172467,490.391396,1611.236735,2101.628131,0.432167,0.25465,0.541741,15832,230050,245882,0.064389,122999,0.500236,3333,1614,870,14,19,12,62,38,0,13,0.462198,0.188521,0,0,0.0,-1,0,0,0
ett-mesh,17,1200.0,206,100,106,0.61,0.62,0.924528,0.898726,0.645407,0.898726,2.493568,2.740352,62,61,4802,5018,4072,946,62,1238.362112,206.960219,0.172467,490.391396,1611.236735,2101.628131,0.432167,0.25465,0.541741,15832,230050,245882,0.064389,122999,0.500236,3333,1614,870,14,19,12,62,38,0,13,0.764261,0.188521,0,0,0.0,-1,0,0,0
minhop-mesh,17,1200.0,206,100,106,0.61,0.62,0.924528,0.898726,0.645407,0.898726,2.493568,2.740352,62,61,4802,5018,4072,946,62,1238.362112,206.960219,0.172467,490.391396,1611.236735,2101.628131,0.432167,0.25465,0.541741,15832,230050,245882,0.064389,122999,0.500236,3333,1614,870,14,19,12,62,38,0,13,0.933107,0.188521,0,0,0.0,-1,0,0,0
meshecho,17,1200.0,206,100,106,0.61,0.65,0.952253,0.788228,0.557877,0.788228,2.493568,2.740352,65,61,4946,5112,4347,765,65,1261.559808,182.859116,0.152383,499.577684,1569.488722,2069.066406,0.413235,0.251959,0.458843,15174,235314,250488,0.060578,109452,0.436955,2583,1337,686,14,14,11,62,38,0,6,0.940089,0.149648,0,0,0.0,-1,0,0,0
meshtastic-like,18,1200.0,194,101,93,0.792079,0.910891,0.906956,0.596677,0.612828,0.596677,2.7868,1.791362,92,80,4133,7236,7136,100,100,1785.729024,280.404326,0.23367,707.148694,2362.315102,3069.463796,0.72857,0.423862,0.765488,17759,336805,354564,0.050087,192128,0.541871,4972,3196,0,0,0,0,0,0,0,0,0.0,0.01382,0,0,0.0,-1,0,0,0
