protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,destination_unicast_pdr,broadcast_coverage,avg_delay_s,unicast_delivery_delay_s,unicast_ack_delay_s,p95_unicast_delivery_delay_s,p95_unicast_ack_delay_s,unicast_deliveries,unicast_acks,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,channel_busy_time_s,channel_busy_ratio,tx_energy_j,rx_energy_j,total_energy_j,energy_per_delivery_j,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,rx_attempts,packet_reception_ratio,collision_fail,collision_rate,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_discovery_attempts,route_discovery_successes,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index,profile_lean_count,profile_balanced_count,profile_rescue_count,scenario,nodes,area_m,rate_per_min,traffic,sf,path_loss_exp,random_pairs,pair_mode,edge_prr_threshold,min_graph_hops,max_graph_hops,candidate_pair_count,selected_pair_mean_graph_hops,independent_rng_streams,cached_route_count,multihop_cached_route_count,route_discovery_success_rate,rrep_rreq_tx_ratio,mean_cached_hops,direct_prr_p05,direct_prr_p25,direct_prr_p50,direct_prr_p75,direct_prr_p95,direct_prr_below_0_99,direct_prr_below_0_50
smart-calm,2,600.0,35,18,17,0.722222,0.777778,1.0,9.366553,9.681591,9.366553,15.143872,15.287744,14,13,833,1258,333,925,19,90.495488,44.645793,0.07441,35.836213,145.00204,180.838254,0.213757,0.106969,0.577263,9172,52470,61642,0.148795,44062,0.714805,5693,831,882,24,18,11,0,18,28,0,0.86258,0.735294,3,38,16.758268,2,10,1,7,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,11,4,0.6111111111111112,0.027210884353741496,1.4545454545454546,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
smart-calm-static,2,600.0,35,18,17,0.777778,0.944444,0.996399,8.794782,9.994607,8.794782,18.760268,15.541633,17,14,830,1335,401,934,25,96.03456,46.693079,0.077822,38.029686,153.64304,191.672726,0.2271,0.113785,0.652451,9511,55904,65415,0.145395,46694,0.713812,5861,896,882,27,18,12,0,18,65,0,0.85326,0.699625,0,0,0.0,1,0,18,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,12,6,0.6666666666666666,0.030612244897959183,1.5833333333333333,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
smart-calm-no-fallback,2,600.0,35,18,17,0.777778,0.777778,0.996399,5.356293,5.238112,5.356293,15.194227,15.388454,14,14,830,1231,300,931,23,88.553216,45.036327,0.075061,35.067074,142.077695,177.144769,0.209887,0.104921,0.504983,9319,51000,60319,0.154495,42381,0.702614,5512,755,881,27,18,14,0,18,0,0,0.840483,0.756296,5,38,20.760125,2,3,2,13,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,14,7,0.7777777777777778,0.03064699205448354,1.6428571428571428,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
smart-calm-no-confidence,2,600.0,35,18,17,0.611111,0.722222,0.992797,9.377493,10.181625,9.377493,15.658448,15.948948,13,11,827,1227,311,916,15,88.265472,43.781341,0.072969,34.953127,141.422407,176.375534,0.210472,0.105329,0.595616,8747,51376,60123,0.145485,43020,0.715533,5780,847,882,19,18,7,0,18,38,0,0.865778,0.746536,4,37,10.4039,0,13,1,4,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,7,0,0.3888888888888889,0.021541950113378686,1.0,1.315222329242583e-05,0.011068302752928147,0.6715784720780543,0.9992692694449267,0.9999999996072366,0.6685714285714286,0.4669387755102041
meshtastic-like,3,600.0,36,22,14,0.681818,1.0,0.992711,0.274383,0.556248,0.274383,1.867443,0.731172,22,15,681,455,428,27,27,32.73088,26.164223,0.043607,12.961428,53.880326,66.841754,0.096037,0.047027,0.864719,7292,15003,22295,0.327069,9468,0.424669,4847,1618,0,0,0,0,0,0,0,0,0.0,0.059341,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0.0,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
meshcore-like,3,600.0,36,22,14,0.590909,0.636364,1.0,0.287744,0.215808,0.287744,0.215808,0.287744,14,13,686,1781,714,1067,14,128.118016,56.795496,0.094659,50.734734,203.655211,254.389945,0.363934,0.183288,0.509975,10882,76387,87269,0.124695,64261,0.736355,7549,0,1030,23,22,15,0,22,0,0,0.0,0.599102,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,1,0.6818181818181818,0.02233009708737864,1.0666666666666667,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
calm-mesh,3,600.0,36,22,14,0.590909,0.636364,1.0,2.351983,2.270321,2.351983,2.641179,2.751274,14,13,686,1384,253,1131,23,99.559424,48.740793,0.081235,39.425532,159.088288,198.51382,0.283997,0.142431,0.578018,10186,57630,67816,0.150201,47399,0.698935,6350,684,1076,32,22,17,0,22,17,1,0.877687,0.817197,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,17,6,0.7727272727272727,0.02973977695167286,1.6470588235294117,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
smart-calm,3,600.0,36,22,14,0.681818,0.772727,0.998542,10.701184,10.363682,10.701184,15.071936,15.143872,17,15,685,1321,253,1068,17,95.027456,45.94493,0.076575,37.630873,151.54514,189.176013,0.270251,0.135754,0.784404,9671,55058,64729,0.149408,44926,0.694063,6390,700,1030,21,22,9,0,22,27,1,0.925017,0.808478,5,42,13.624032,0,20,2,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,9,0,0.4090909090909091,0.020388349514563107,1.0,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
smart-calm-static,3,600.0,36,22,14,0.863636,0.909091,0.998542,8.392633,8.035634,8.392633,15.110102,15.158259,20,19,685,1431,302,1129,27,102.940416,50.842552,0.084738,40.764405,164.62156,205.385965,0.291741,0.146222,0.73526,10574,59545,70119,0.150801,49210,0.701807,6574,768,1076,26,22,15,0,22,67,1,0.902007,0.788959,0,0,0.0,1,0,22,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,4,0.6818181818181818,0.024163568773234202,1.3333333333333333,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
smart-calm-no-fallback,3,600.0,36,22,14,0.727273,0.727273,0.992711,8.921736,8.80484,8.921736,18.965808,19.181616,16,16,681,1383,247,1136,26,99.487488,48.160427,0.080267,39.397045,158.728858,198.125903,0.284255,0.142737,0.714757,9909,57858,67767,0.146222,47916,0.70707,5890,625,1077,33,22,16,0,22,0,0,0.868537,0.821403,5,42,14.610007,2,5,13,4,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,16,7,0.7272727272727273,0.03064066852367688,1.625,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
smart-calm-no-confidence,3,600.0,36,22,14,0.636364,0.681818,1.0,10.378711,10.624452,10.378711,15.071936,15.143872,15,14,686,1320,252,1068,15,94.95552,45.398835,0.075665,37.602386,151.523135,189.12552,0.270179,0.135651,0.755176,9412,55268,64680,0.145516,45720,0.706865,6176,698,1030,23,22,8,0,22,30,1,0.90057,0.809091,6,42,8.089471,2,20,2,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,8,0,0.36363636363636365,0.02233009708737864,1.0,4.9762469587333566e-05,0.019247903950758212,0.7911137031711386,0.9993816491687935,0.9999999989783181,0.6334693877551021,0.4342857142857143
meshtastic-like,4,600.0,45,22,23,0.727273,1.0,0.997338,0.677529,0.685537,0.677529,1.6225,1.788829,22,16,1124,622,593,29,29,44.744192,34.119507,0.056866,17.7187,73.556083,91.274783,0.080066,0.039249,0.790542,8596,21882,30478,0.28204,13805,0.45295,5767,2018,0,0,0,0,0,0,0,0,0.0,0.046624,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,0,0,0.0,0.0,0.0,8.765378970622922e-06,0.005376134198027239,0.5608061171791956,0.9995898753941566,0.9999999991117636,0.6571428571428571,0.4857142857142857
meshcore-like,4,600.0,45,22,23,0.363636,0.454545,1.0,0.287744,0.201421,0.287744,0.215808,0.287744,10,8,1127,2227,1162,1065,10,160.201472,71.410432,0.119017,63.439783,255.085542,318.525324,0.280639,0.141147,0.589676,12380,96743,109123,0.11345,82544,0.756431,9090,0,1029,26,21,11,1,21,0,0,0.0,0.478222,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,11,1,0.5238095238095238,0.025267249757045675,1.0909090909090908,8.765378970622922e-06,0.005376134198027239,0.5608061171791956,0.9995898753941566,0.9999999991117636,0.6571428571428571,0.4857142857142857
calm-mesh,4,600.0,45,22,23,0.590909,0.681818,0.996451,2.315412,2.063292,2.315412,2.330906,2.517939,15,13,1123,1517,438,1079,21,109.126912,53.945536,0.089909,43.214257,174.641599,217.855856,0.191775,0.096062,0.588706,10517,63816,74333,0.141485,53284,0.716828,6755,1024,1028,30,21,15,1,21,0,0,0.867108,0.711272,0,0,0.0,-1,0,0,0,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,6,0.7142857142857143,0.029182879377431907,1.4666666666666666,8.765378970622922e-06,0.005376134198027239,0.5608061171791956,0.9995898753941566,0.9999999991117636,0.6571428571428571,0.4857142857142857
smart-calm,4,600.0,45,22,23,0.727273,0.772727,0.998225,6.494256,4.476418,6.494256,15.143872,15.287744,17,16,1125,1568,490,1078,25,112.795648,55.869698,0.093116,44.667077,180.353363,225.02044,0.197213,0.098857,0.670214,11085,65747,76832,0.144276,53783,0.700008,6906,1171,1028,25,21,15,1,21,53,2,0.891485,0.6875,6,42,25.285666,2,13,1,8,sf7_random_pairs,50,18000.0,4.0,mixed,7,2.75,1,random,0.7,2,4,0,0.0,1,15,5,0.7142857142857143,0.024319066147859923,1.3333333333333333,8.765378970622922e-06,0.005376134198027239,0.5608061171791956,0.9995898753941566,0.9999999991117636,0.6571428571428571,0.4857142857142857
