protocol,seed,duration_s,flows,unicast_flows,broadcast_flows,unicast_pdr,broadcast_coverage,avg_delay_s,unicast_deliveries,broadcast_deliveries,tx_count,data_tx,control_tx,ack_tx,total_airtime_s,airtime_per_delivery_s,mean_delivery_delay_s,rx_success,rx_fail,collision_fail,duplicate_rx,suppressed_forwards,route_requests,route_replies,route_cache_hits,route_cache_misses,fallback_forward_count,route_repair_count,mean_path_confidence,control_overhead_ratio,policy_switch_count,policy_update_count,policy_reward_total,active_profile_index
smart-calm,12,1200.0,132,63,69,0.904762,0.985211,4.864697,57,3331,3686,3059,627,57,909.645824,0.268491,0.584133,12027,168587,84492,1925,1018,560,10,47,16,99,6,0.952064,0.170103,1,103,94.684767,0
meshtastic-like,13,1200.0,129,63,66,0.936508,0.893321,0.863152,59,2889,4785,4785,0,0,1180.86144,0.400564,0.441509,8719,225746,123218,2951,1899,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,13,1200.0,129,63,66,0.619048,0.969388,0.423962,39,3135,4186,3243,943,40,1033.037824,0.325469,0.488382,10184,194881,86721,2043,0,884,19,31,32,0,0,0.0,0.225275,0,0,0.0,-1
calm-mesh,13,1200.0,129,63,66,0.809524,0.952381,0.858709,51,3080,3661,2860,801,51,903.476224,0.288558,0.403511,10826,168563,75166,1243,697,735,15,46,17,42,8,0.949772,0.218793,0,0,0.0,-1
smart-calm,13,1200.0,129,63,66,0.968254,0.969388,8.158077,61,3135,3681,2925,756,63,908.411904,0.284234,0.470556,11864,168505,77725,1480,840,681,12,40,23,122,7,0.953766,0.205379,4,101,103.358409,2
meshtastic-like,14,1200.0,114,46,68,0.978261,0.953481,0.46248,45,3177,4587,4587,0,0,1131.998208,0.351334,0.581862,7644,216580,115088,2276,1612,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,14,1200.0,114,46,68,0.891304,0.980192,0.487549,41,3266,4417,3375,1042,41,1090.044928,0.329617,0.493109,10239,206194,94576,1963,0,981,20,25,21,0,0,0.0,0.235907,0,0,0.0,-1
calm-mesh,14,1200.0,114,46,68,0.869565,0.966987,0.970819,40,3222,3693,2952,741,40,911.373312,0.279391,0.450148,9794,171163,77369,1321,822,687,14,30,16,35,8,0.956192,0.20065,0,0,0.0,-1
smart-calm,14,1200.0,114,46,68,1.0,0.970288,1.592967,46,3233,3585,2937,648,49,884.72064,0.269814,0.51135,10553,165112,79612,1677,965,588,11,34,12,39,5,0.952705,0.180753,4,86,87.525609,1
meshtastic-like,15,1200.0,135,68,67,0.911765,0.891563,0.768547,62,2927,5093,5093,0,0,1256.870912,0.420499,0.565841,8879,240678,131048,2915,1890,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,15,1200.0,135,68,67,0.205882,0.922023,0.458313,14,3027,3751,3107,644,14,925.686784,0.304402,0.53294,7018,176781,81973,1677,0,612,18,8,60,0,0,0.0,0.171688,0,0,0.0,-1
calm-mesh,15,1200.0,135,68,67,0.529412,0.963753,1.017895,36,3164,3592,2882,710,38,886.448128,0.277015,0.587332,9289,166719,80677,1527,891,659,13,27,41,32,6,0.943278,0.197661,0,0,0.0,-1
smart-calm,15,1200.0,135,68,67,0.970588,0.94639,17.544054,66,3107,3632,2929,703,68,896.319488,0.282483,0.859933,12271,165697,82547,1782,836,622,13,29,39,101,7,0.940576,0.193557,1,107,93.674673,0
meshtastic-like,16,1200.0,121,53,68,0.943396,0.941777,0.385713,50,3138,4718,4718,0,0,1164.326912,0.365222,0.61921,8263,222919,120666,2684,1691,0,0,0,0,0,0,0.0,0.0,0,0,0.0,-1
meshcore-like,16,1200.0,121,53,68,0.754717,0.945078,0.444211,40,3149,4079,3237,842,40,1006.631936,0.315658,0.661968,9632,190239,90611,1931,0,786,16,26,27,0,0,0.0,0.206423,0,0,0.0,-1
